,current_complaint_category,days_open,incident_location,cr_id
52137,COERCION - VIOLENCE,372,POLICE FACILITY/VEH PARKING LOT,1015097
52138,MISCELLANEOUS,648,,1015471
52139,"RACIAL / ETHNIC, ETC.",405,COMMERCIAL / BUSINESS OFFICE,1015119
52140,EXCESSIVE FORCE / ON DUTY - INJURY,209,STREET,1016344
52141,PUSH/PULL/GRAB,314,STREET,1014946
52142,MISCELLANEOUS,29,SIDEWALK,1017053
52143,EXCESSIVE FORCE / ON DUTY - NO INJURY,42,,1015051
52144,MISCELLANEOUS,185,POLICE FACILITY/VEH PARKING LOT,1016829
52145,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,305,RESIDENCE PORCH/HALLWAY,1016991
52146,MISCELLANEOUS,360,POLICE FACILITY/VEH PARKING LOT,1016245
52147,MISCELLANEOUS,297,STREET,1015362
52148,EXCESSIVE FORCE / ON DUTY - INJURY,119,STREET,1016906
52149,EXCESSIVE FORCE / ON DUTY - INJURY,209,STREET,1016344
52150,"RACIAL / ETHNIC, ETC.",55,STREET,1016346
52151,MISCELLANEOUS,424,RESIDENCE,1015472
52152,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,850,STREET,1017747
52153,MISCELLANEOUS,303,,1016136
52154,MISCELLANEOUS,9,RESIDENCE,1016924
52155,"RACIAL / ETHNIC, ETC.",573,STREET,1015280
52156,IMPACT WEAPON - AUTHORIZED (BATON / ASP),164,STREET,1015508
52157,"RACIAL / ETHNIC, ETC.",278,SIDEWALK,1015096
52158,IMPACT WEAPON - AUTHORIZED (BATON / ASP),163,STREET,1016707
52159,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,1269,RESIDENCE,1015039
52160,NO INJURY,2170,,1016377
52161,"RACIAL / ETHNIC, ETC.",577,BAR OR TAVERN,1016240
52162,"RACIAL / ETHNIC, ETC.",136,STREET,1016241
52163,SEXUAL ORIENTATION,171,APARTMENT,1015529
52164,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,637,RESIDENCE,1016997
52165,"RACIAL / ETHNIC, ETC.",274,,1016886
52166,TAKE DOWN (THROWN TO GROUND),146,STREET,1016948
52167,COERCION - VIOLENCE,372,POLICE FACILITY/VEH PARKING LOT,1015097
52168,MISCELLANEOUS,360,POLICE FACILITY/VEH PARKING LOT,1016245
52169,CLOSED HAND STRIKE (PUNCH),168,HIGHWAY/EXPRESSWAY,1016354
52170,KICKED,175,CHA APARTMENT,1016364
52171,OPEN HAND STRIKE (SLAP),221,"SCHOOL, PUBLIC, GROUNDS",1016943
52172,CLOSED HAND STRIKE (PUNCH),129,STREET,1015172
52173,MISCELLANEOUS,124,"SCHOOL, PRIVATE, GROUNDS",1017001
52174,CLOSED HAND STRIKE (PUNCH),280,ALLEY,1015373
52175,ELBOW STRIKE,64,,1015206
52176,CLOSED HAND STRIKE (PUNCH),49,STREET,1016520
52177,MISCELLANEOUS,175,POLICE FACILITY/VEH PARKING LOT,1017111
52178,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,178,"SCHOOL, PUBLIC, BUILDING",1016295
52179,EXCESSIVE FORCE / ON DUTY - INJURY,411,STREET,1016461
52180,OPEN HAND STRIKE (SLAP),81,"SCHOOL, PUBLIC, GROUNDS",1016488
52181,EXCESSIVE FORCE / ON DUTY - INJURY,793,POLICE FACILITY/VEH PARKING LOT,1015371
52182,THREATS,1168,RESIDENCE,1016996
52183,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,637,RESIDENCE,1016997
52184,MISCELLANEOUS,417,POLICE FACILITY/VEH PARKING LOT,1016259
52185,MISCELLANEOUS,150,GOVERNMENT BUILDING/PROPERTY,1016484
52186,KICKED,142,STREET,1017091
52187,NO INJURY,186,RESIDENCE,1015327
52188,DOMESTIC INCIDENT - NOT PHYSICAL,2163,,1017048
52189,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,1102,OTHER,1015192
52190,CLOSED HAND STRIKE (PUNCH),467,STREET,1017184
52191,"U CONVERTED TO C.R. (RECORDS KEEPING ONLY, INITIAL)",1809,ALLEY,1016456
52192,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,774,SIDEWALK,1016985
52193,INJURY,158,RESIDENCE,1015341
52194,DOMESTIC ALTERCATION - PHYSICAL ABUSE,808,RESIDENCE,1016443
52195,EXCESSIVE FORCE / ON DUTY - INJURY,175,POLICE FACILITY/VEH PARKING LOT,1015434
52196,EXCESSIVE FORCE / ON DUTY - NO INJURY,2080,JAIL / LOCK-UP FACILITY,1016873
52197,EXCESSIVE FORCE / ON DUTY - INJURY,1280,ALLEY,1017189
52198,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,202,STREET,1016560
52199,MISCELLANEOUS,155,STREET,1015435
52200,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,180,STREET,1015480
52201,MISCELLANEOUS,118,STREET,1017126
52202,OPEN HAND STRIKE (SLAP),162,SIDEWALK,1016510
52203,EXCESSIVE FORCE / ON DUTY - INJURY,796,RESIDENCE,1016374
52204,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,67,OTHER,1015521
52205,CIVIL SUITS - THIRD PARTY ,393,CTA PLATFORM,1015089
52206,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,211,RESIDENCE,1016286
52207,MISCELLANEOUS,155,STREET,1015435
52208,EXCESSIVE FORCE / ON DUTY - INJURY,539,STREET,1017118
52209,MISCELLANEOUS,198,RESTAURANT,1016495
52210,CLOSED HAND STRIKE (PUNCH),238,STREET,1016947
52211,CHOKED,323,RESIDENCE,1012629
52212,CHOKED,323,POLICE FACILITY/VEH PARKING LOT,1012629
52213,OC CHEMICAL WEAPON,298,STREET,1017170
52214,MISCELLANEOUS,297,STREET,1015362
52215,DOMESTIC INCIDENT - NOT PHYSICAL,2163,,1017048
52216,TAKE DOWN (THROWN TO GROUND),146,STREET,1016948
52217,CLOSED HAND STRIKE (PUNCH),675,GAS STATION,1015230
52218,"RACIAL / ETHNIC, ETC.",173,,1017157
52219,EXCESSIVE FORCE / ON DUTY - INJURY,231,STREET,1016277
52220,EXCESSIVE FORCE / ON DUTY - INJURY,304,SIDEWALK,1017014
52221,DOMESTIC INCIDENT - NOT PHYSICAL,1193,OTHER,1017224
52222,EXCESSIVE FORCE / ON DUTY - INJURY,92,STREET,1015376
52223,"RACIAL / ETHNIC, ETC.",577,BAR OR TAVERN,1016240
52224,MISCELLANEOUS,72,STREET,1017374
52225,MISCELLANEOUS,175,STREET,1017111
52226,TAKE DOWN (THROWN TO GROUND),265,STREET,1015637
52227,CLOSED HAND STRIKE (PUNCH),675,GAS STATION,1015230
52228,EXCESSIVE FORCE / ON DUTY - INJURY,119,STREET,1016906
52229,MISCELLANEOUS,145,POLICE FACILITY/VEH PARKING LOT,1015432
52230,CHOKED,67,"SCHOOL, PUBLIC, BUILDING",1015274
52231,PUSHED TO GROUND,248,RESIDENCE,1016655
52232,PUSH/PULL/GRAB,384,STREET,1016381
52233,PUSH/PULL/GRAB,660,STREET,1017388
52234,CLOSED HAND STRIKE (PUNCH),238,STREET,1016947
52235,EXCESSIVE FORCE / ON DUTY - INJURY,411,STREET,1016461
52236,DOMESTIC INCIDENT - NOT PHYSICAL,1233,RESIDENCE,1016491
52237,MISCELLANEOUS,236,,1015308
52238,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,349,STREET,1016349
52239,EXCESSIVE FORCE / ON DUTY - NO INJURY,146,RESIDENCE,1016345
52240,CHOKED,347,STREET,1015474
52241,MISCELLANEOUS,236,STREET,1009856
52242,HANDCUFF TOO TIGHT,383,ALLEY,1015615
52243,CLOSED HAND STRIKE (PUNCH),896,OTHER,1016606
52244,MISCELLANEOUS,720,POLICE FACILITY/VEH PARKING LOT,1015585
52245,NO INJURY,1875,RESIDENCE,1016380
52246,FIREARM DISCHARGE WITH HITS - MISCELLANEOUS FIREARM,673,STREET,1015293
52247,"RACIAL / ETHNIC, ETC.",405,COMMERCIAL / BUSINESS OFFICE,1015119
52248,KICKED,420,ALLEY,1015584
52249,EXCESSIVE FORCE / ON DUTY - NO INJURY,870,APARTMENT,1015698
52250,SHOTS FIRED - NO HITS,131,STREET,1015332
52251,EXCESSIVE FORCE / ON DUTY - INJURY,1280,ALLEY,1017189
52252,KICKED,420,ALLEY,1015584
52253,EXCESSIVE FORCE / ON DUTY - INJURY,227,SIDEWALK,1017237
52254,EXCESSIVE FORCE / OFF DUTY - INJURY,1302,STREET,1017419
52255,THREATS,1168,RESIDENCE,1016996
52256,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,305,RESIDENCE PORCH/HALLWAY,1016991
52257,THREATS,112,,1017145
52258,VEHICLE,636,STREET,1017012
52259,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,180,STREET,1015480
52260,MISCELLANEOUS,411,STREET,1016541
52261,MISCELLANEOUS,362,PARKING LOT/GARAGE(NON.RESID.),1015443
52262,MISCELLANEOUS,297,STREET,1017194
52263,VIOLATION OF COURT ORDER,208,RESIDENCE,1016370
52264,EXCESSIVE FORCE / ON DUTY - INJURY,338,ALLEY,1016897
52265,CLOSED HAND STRIKE (PUNCH),142,STREET,1016497
52266,EXCESSIVE FORCE / ON DUTY - INJURY,78,POLICE FACILITY/VEH PARKING LOT,1015412
52267,MISCELLANEOUS,540,SMALL RETAIL STORE,1017086
52268,CHOKED,67,"SCHOOL, PUBLIC, BUILDING",1015274
52269,MISCELLANEOUS,1014,APARTMENT,1015516
52270,CLOSED HAND STRIKE (PUNCH),280,ALLEY,1015373
52271,SEXUAL ORIENTATION,171,APARTMENT,1015529
52272,IMPACT WEAPON - AUTHORIZED (BATON / ASP),124,"SCHOOL, PUBLIC, GROUNDS",1015493
52273,INJURY,366,STREET,1015538
52274,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,774,SIDEWALK,1016985
52275,"RACIAL / ETHNIC, ETC.",327,CTA TRAIN,1017193
52276,MISCELLANEOUS,326,RESIDENCE,1017029
52277,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,1212,APARTMENT,1015565
52278,EXCESSIVE FORCE / ON DUTY - INJURY,110,"SCHOOL, PUBLIC, GROUNDS",1017340
52279,CLOSED HAND STRIKE (PUNCH),738,HOTEL/MOTEL,1015524
52280,EXCESSIVE FORCE / ON DUTY - INJURY,667,STREET,1016102
52281,PUSH/PULL/GRAB,445,STREET,1015580
52282,KICKED,175,CHA APARTMENT,1016364
52283,OC CHEMICAL WEAPON,298,STREET,1017170
52284,MISCELLANEOUS,417,CTA GARAGE / OTHER PROPERTY,1016259
52285,SEXUAL ORIENTATION,1625,"SCHOOL, PUBLIC, BUILDING",1015659
52286,HANDCUFF TOO TIGHT,918,STREET,1017210
52287,EXCESSIVE FORCE / ON DUTY - NO INJURY,177,CHA PARKING LOT/GROUNDS,1016337
52288,IMPACT WEAPON - AUTHORIZED (BATON / ASP),1035,STREET,1017423
52289,EXCESSIVE FORCE / ON DUTY - INJURY,92,STREET,1015376
52290,EXCESSIVE FORCE / ON DUTY - INJURY,796,RESIDENCE,1016374
52291,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,20,STREET,1015597
52292,KNEE STRIKE,316,APARTMENT,1016162
52293,INJURY,197,APARTMENT,1016687
52294,SHOTS FIRED - NO HITS,131,STREET,1015332
52295,PUSH/PULL/GRAB,84,STREET,1015437
52296,EXCESSIVE FORCE / ON DUTY - NO INJURY,146,RESIDENCE,1016345
52297,VERBAL ABUSE,77,RESIDENCE,1016542
52298,CLOSED HAND STRIKE (PUNCH),896,OTHER,1016606
52299,KICKED,580,STREET,1016864
52300,KICKED,303,STREET,1016866
52301,CHOKED,117,"SCHOOL, PUBLIC, BUILDING",1016794
52302,CLOSED HAND STRIKE (PUNCH),250,CHA HALLWAY/STAIRWELL/ELEVATOR,1016800
52303,MISCELLANEOUS,411,STREET,1016541
52304,UNJUSTIFIED POINTING OF FIREARM - HANDGUN,1096,DEPARTMENT STORE,1017553
52305,EXCESSIVE FORCE / ON DUTY - INJURY,1010,"SCHOOL, PUBLIC, GROUNDS",1015935
52306,MISCELLANEOUS,29,SIDEWALK,1017053
52307,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,361,STREET,1016860
52308,MISCELLANEOUS,241,RESIDENCE,1016598
52309,MISCELLANEOUS,1211,SIDEWALK,1016398
52310,PUSH/PULL/GRAB,195,STREET,1017467
52311,EXCESSIVE FORCE / ON DUTY - INJURY,110,"SCHOOL, PUBLIC, GROUNDS",1017340
52312,EXCESSIVE FORCE / ON DUTY - INJURY,536,,1016662
52313,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,1036,RESIDENCE,1016694
52314,EXCESSIVE FORCE / OFF DUTY - INJURY,1305,RESTAURANT,1016622
52315,KICKED,233,ALLEY,1015557
52316,EXCESSIVE FORCE - USE OF FIREARM / ON DUTY - INJURY,1511,STREET,1017246
52317,MISCELLANEOUS,114,SIDEWALK,1017288
52318,IMPACT WEAPON - AUTHORIZED (BATON / ASP),187,DEPARTMENT STORE,1015537
52319,"RACIAL / ETHNIC, ETC.",84,STREET,1015815
52320,EXCESSIVE FORCE / ON DUTY - INJURY,380,SIDEWALK,1015783
52321,CLOSED HAND STRIKE (PUNCH),358,GAS STATION,1017205
52322,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,739,STREET,1015914
52323,TAKE DOWN (THROWN TO GROUND),504,STREET,1013631
52324,CLOSED HAND STRIKE (PUNCH),725,ALLEY,1015506
52325,INTOXICATED OFF DUTY,2035,STREET,1016734
52326,OPEN HAND STRIKE (SLAP),111,"SCHOOL, PUBLIC, BUILDING",1015639
52327,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,432,RESIDENCE,1017644
52328,MISCELLANEOUS,243,STREET,1016212
52329,PUSH/PULL/GRAB,1504,HOSPITAL BUILDING/GROUNDS,1015606
52330,EXCESSIVE FORCE / ON DUTY - NO INJURY,383,STREET,1016524
52331,OPEN HAND STRIKE (SLAP),192,RESIDENCE,1016094
52332,EXCESSIVE FORCE / ON DUTY - INJURY,387,RESIDENCE,1015561
52333,EXCESSIVE FORCE / ON DUTY - INJURY,380,SIDEWALK,1015783
52334,CLOSED HAND STRIKE (PUNCH),524,STREET,1016761
52335,HANDCUFF TOO TIGHT,379,STREET,1015835
52336,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,148,ALLEY,1015347
52337,DOMESTIC INCIDENT - NOT PHYSICAL,1193,OTHER,1017224
52338,EXCESSIVE FORCE / ON DUTY - INJURY,387,RESIDENCE,1015561
52339,MISCELLANEOUS,153,STREET,1016588
52340,IMPACT WEAPON - AUTHORIZED (BATON / ASP),187,DEPARTMENT STORE,1015537
52341,NO INJURY,379,,1016644
52342,"RACIAL / ETHNIC, ETC.",1153,POLICE FACILITY/VEH PARKING LOT,1013445
52343,MISCELLANEOUS,297,STREET,1017194
52344,HARASSMENT,6,OTHER,1017291
52345,MISCELLANEOUS,632,APARTMENT,1016306
52346,MISCELLANEOUS,417,POLICE FACILITY/VEH PARKING LOT,1016259
52347,EXCESSIVE FORCE / ON DUTY - NO INJURY,854,STREET,1016668
52348,VERBAL ABUSE,77,RESIDENCE,1016542
52349,CLOSED HAND STRIKE (PUNCH),725,ALLEY,1015506
52350,VEHICLE,636,STREET,1017012
52351,IMPACT WEAPON - AUTHORIZED (BATON / ASP),163,STREET,1016707
52352,IMPACT WEAPON - AUTHORIZED (BATON / ASP),164,STREET,1015508
52353,MISCELLANEOUS,344,STREET,1017571
52354,"RACIAL / ETHNIC, ETC.",136,STREET,1016241
52355,CLOSED HAND STRIKE (PUNCH),358,GAS STATION,1017205
52356,NO INJURY,359,OTHER,1017190
52357,MISCELLANEOUS,314,STREET,1016572
52358,CLOSED HAND STRIKE (PUNCH),358,GROCERY FOOD STORE,1015554
52359,EXCESSIVE FORCE / ON DUTY - INJURY,297,RESIDENCE,1015547
52360,EXCESSIVE FORCE / ON DUTY - NO INJURY,383,STREET,1016524
52361,EXCESSIVE FORCE / ON DUTY - INJURY,275,STREET,1015571
52362,MISCELLANEOUS,241,RESIDENCE,1016598
52363,DOMESTIC INCIDENT - NOT PHYSICAL,281,POLICE FACILITY/VEH PARKING LOT,1016719
52364,THREATS,2010,RESIDENCE,1015799
52365,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,1538,STREET,1015527
52366,OPEN HAND STRIKE (SLAP),610,HOSPITAL BUILDING/GROUNDS,1016704
52367,MISCELLANEOUS,173,RESIDENCE,1016619
52368,MISCELLANEOUS,175,STREET,1017111
52369,MISCELLANEOUS,185,POLICE FACILITY/VEH PARKING LOT,1016829
52370,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,310,RESIDENCE,1016832
52371,MISCELLANEOUS,175,POLICE FACILITY/VEH PARKING LOT,1017111
52372,"RACIAL / ETHNIC, ETC.",55,STREET,1016346
52373,KICKED,1077,STREET,1015254
52374,OPEN HAND STRIKE (SLAP),162,SIDEWALK,1016510
52375,MISCELLANEOUS,823,,1017187
52376,NO INJURY,359,OTHER,1017190
52377,CLOSED HAND STRIKE (PUNCH),485,RESIDENCE,1015372
52378,TAKE DOWN (THROWN TO GROUND),383,POLICE FACILITY/VEH PARKING LOT,1016587
52379,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,202,STREET,1016560
52380,CLOSED HAND STRIKE (PUNCH),152,POLICE FACILITY/VEH PARKING LOT,1013678
52381,PUSH/PULL/GRAB,84,STREET,1015437
52382,EXCESSIVE FORCE / ON DUTY - INJURY,78,POLICE FACILITY/VEH PARKING LOT,1015412
52383,THREATS,112,,1017145
52384,CLOSED HAND STRIKE (PUNCH),61,RESIDENCE PORCH/HALLWAY,1015279
52385,OPEN HAND STRIKE (SLAP),111,"SCHOOL, PUBLIC, BUILDING",1015639
52386,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,345,RESIDENCE,1015526
52387,CIVIL SUITS - THIRD PARTY ,1017,SIDEWALK,1017078
52388,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,148,ALLEY,1015347
52389,PUSH/PULL/GRAB,262,SIDEWALK,1017272
52390,"U CONVERTED TO C.R. (RECORDS KEEPING ONLY, INITIAL)",1809,ALLEY,1016456
52391,MISCELLANEOUS,124,"SCHOOL, PRIVATE, GROUNDS",1017001
52392,ELBOW STRIKE,309,RESIDENCE,1016853
52393,CHOKED,154,SIDEWALK,1016804
52394,EXCESSIVE FORCE / ON DUTY - INJURY,243,STREET,1016816
52395,MISCELLANEOUS,1413,STREET,1017110
52396,"RACIAL / ETHNIC, ETC.",191,STREET,1015411
52397,KICKED,580,STREET,1016864
52398,"RACIAL / ETHNIC, ETC.",122,OTHER,1012996
52399,MISCELLANEOUS,173,RESIDENCE,1016619
52400,MISCELLANEOUS,424,RESIDENCE,1015472
52401,MISCELLANEOUS,198,RESTAURANT,1016495
52402,MISCELLANEOUS,298,SIDEWALK,1016748
52403,PUSH/PULL/GRAB,534,RESIDENCE,1016561
52404,MISCELLANEOUS,720,POLICE FACILITY/VEH PARKING LOT,1015585
52405,CLOSED HAND STRIKE (PUNCH),83,"SCHOOL, PUBLIC, BUILDING",1016372
52406,EXCESSIVE FORCE / ON DUTY - INJURY,539,STREET,1017118
52407,CLOSED HAND STRIKE (PUNCH),49,STREET,1016520
52408,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,1036,RESIDENCE,1016694
52409,PUSHED TO GROUND,248,RESIDENCE,1016655
52410,MISCELLANEOUS,528,,1015889
52411,OPEN HAND STRIKE (SLAP),43,,1015919
52412,PUSH/PULL/GRAB,195,STREET,1017467
52413,MISCELLANEOUS,1014,APARTMENT,1015516
52414,DOMESTIC ALTERCATION - PHYSICAL ABUSE,808,RESIDENCE,1016443
52415,CLOSED HAND STRIKE (PUNCH),812,STREET,1015657
52416,EXCESSIVE FORCE / ON DUTY - INJURY,806,,1017459
52417,CLOSED HAND STRIKE (PUNCH),195,"SCHOOL, PUBLIC, GROUNDS",1015629
52418,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,102,RESIDENCE,1015900
52419,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,200,STREET,1015927
52420,EXCESSIVE FORCE / ON DUTY - INJURY,637,STREET,1016222
52421,MISCELLANEOUS,118,STREET,1017126
52422,CIVIL SUITS - THIRD PARTY ,1017,SIDEWALK,1017078
52423,EXCESSIVE FORCE / ON DUTY - NO INJURY,140,LAKEFRONT/WATERFRONT/RIVERBANK,1016766
52424,CHOKED,507,STREET,1017052
52425,KICKED,42,STREET,1018190
52426,"RACIAL / ETHNIC, ETC.",358,POLICE FACILITY/VEH PARKING LOT,1016172
52427,EXCESSIVE FORCE / ON DUTY - INJURY,275,POLICE FACILITY/VEH PARKING LOT,1015571
52428,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,345,RESIDENCE,1015526
52429,HANDCUFF TOO TIGHT,383,ALLEY,1015615
52430,MISCELLANEOUS,153,SIDEWALK,1016813
52431,MISCELLANEOUS,326,RESIDENCE,1017029
52432,OC CHEMICAL WEAPON,143,RESIDENCE PORCH/HALLWAY,1017942
52433,MISCELLANEOUS,114,SIDEWALK,1017288
52434,KICKED,42,STREET,1018190
52435,CLOSED HAND STRIKE (PUNCH),491,STREET,1017612
52436,NO INJURY,1875,RESIDENCE,1016380
52437,"U CONVERTED TO C.R. (RECORDS KEEPING ONLY, INITIAL)",1662,RESIDENCE,1018010
52438,FIREARM DISCHARGE WITH HITS / ON DUTY,1918,CHA PARKING LOT/GROUNDS,1017301
52439,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,67,OTHER,1015521
52440,EXCESSIVE FORCE / ON DUTY - NO INJURY,870,APARTMENT,1015698
52441,INJURY,1203,RESIDENCE,1015390
52442,EXCESSIVE FORCE / ON DUTY - NO INJURY,1118,RESIDENCE,1018068
52443,MISCELLANEOUS,9,RESIDENCE,1016924
52444,PUSH/PULL/GRAB,384,STREET,1016381
52445,SEXUAL ORIENTATION,724,STREET,1017952
52446,MISCELLANEOUS,331,"SCHOOL, PUBLIC, GROUNDS",1017390
52447,"RACIAL / ETHNIC, ETC.",327,CTA TRAIN,1017193
52448,CLOSED HAND STRIKE (PUNCH),1277,BAR OR TAVERN,1017379
52449,OPEN HAND STRIKE (SLAP),221,"SCHOOL, PUBLIC, GROUNDS",1016943
52450,INJURY,158,RESIDENCE,1015341
52451,"RACIAL / ETHNIC, ETC.",173,,1017157
52452,EXCESSIVE FORCE / ON DUTY - INJURY,602,PARKING LOT/GARAGE(NON.RESID.),1017155
52453,FIREARM DISCHARGE WITH HITS - HANDGUN,1831,HIGHWAY/EXPRESSWAY,1018328
52454,MISCELLANEOUS,1794,STREET,1017385
52455,MISCELLANEOUS,72,COMMERCIAL / BUSINESS OFFICE,1017366
52456,KICKED,257,SIDEWALK,1015498
52457,CLOSED HAND STRIKE (PUNCH),467,STREET,1017184
52458,ELBOW STRIKE,309,RESIDENCE,1016853
52459,EXCESSIVE FORCE / ON DUTY - INJURY,338,ALLEY,1016897
52460,TAKE DOWN (THROWN TO GROUND),105,"SCHOOL, PUBLIC, GROUNDS",1016728
52461,THREATS,128,RESIDENCE,1017119
52462,MISUSE OF DEPARTMENT RECORDS,492,POLICE FACILITY/VEH PARKING LOT,1012986
52463,INJURY,473,RESIDENCE,1017299
52464,INTOXICATED OFF DUTY,2035,STREET,1016734
52465,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,227,RESIDENCE PORCH/HALLWAY,1017341
52466,CLOSED HAND STRIKE (PUNCH),1288,PARKING LOT/GARAGE(NON.RESID.),1017305
52467,EXCESSIVE FORCE / ON DUTY - INJURY,495,STREET,1015857
52468,"RACIAL / ETHNIC, ETC.",274,,1016886
52469,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,769,STREET,1016605
52470,TAKE DOWN (THROWN TO GROUND),274,PARK PROPERTY,1017785
52471,PROPER CARE - INJURY / DEATH,1465,STREET,1016620
52472,MISCELLANEOUS,308,CHA PARKING LOT/GROUNDS,1017424
52473,CLOSED HAND STRIKE (PUNCH),94,SIDEWALK,1017715
52474,EXCESSIVE FORCE / ON DUTY - NO INJURY,790,SIDEWALK,1017849
52475,MISCELLANEOUS,823,,1017187
52476,PUSH/PULL/GRAB,534,RESIDENCE,1016561
52477,DOMESTIC INCIDENT - NOT PHYSICAL,83,RESIDENCE,1017351
52478,PUSH/PULL/GRAB,262,SIDEWALK,1017272
52479,CLOSED HAND STRIKE (PUNCH),653,ALLEY,1017407
52480,FIREARM DISCHARGE WITH HITS / ON DUTY,1918,CHA PARKING LOT/GROUNDS,1017301
52481,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,227,RESIDENCE PORCH/HALLWAY,1017341
52482,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,227,RESIDENCE PORCH/HALLWAY,1017341
52483,OPEN HAND STRIKE (SLAP),168,"SCHOOL, PUBLIC, GROUNDS",1017425
52484,THREATS,278,,1017501
52485,CLOSED HAND STRIKE (PUNCH),216,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1017535
52486,KICKED,303,STREET,1016866
52487,MISCELLANEOUS,191,RESIDENCE,1016651
52488,MISCELLANEOUS,121,APARTMENT,1018399
52489,CLOSED HAND STRIKE (PUNCH),358,POLICE FACILITY/VEH PARKING LOT,1018839
52490,KICKED,359,,1017867
52491,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,383,APARTMENT,1018158
52492,MISCELLANEOUS,802,STREET,1018077
52493,MISCELLANEOUS,226,APARTMENT,1017448
52494,MISCELLANEOUS,153,SIDEWALK,1016813
52495,INJURY,197,APARTMENT,1016687
52496,THREATS,128,RESIDENCE,1017119
52497,MISCELLANEOUS,267,STREET,1017854
52498,TAKE DOWN (THROWN TO GROUND),557,PARKING LOT/GARAGE(NON.RESID.),1019161
52499,CLOSED HAND STRIKE (PUNCH),142,STREET,1016497
52500,KICKED,263,POLICE FACILITY/VEH PARKING LOT,1017987
52501,OPEN HAND STRIKE (SLAP),168,"SCHOOL, PUBLIC, GROUNDS",1017425
52502,CHOKED,507,STREET,1017052
52503,EXCESSIVE FORCE - USE OF FIREARM / ON DUTY - INJURY,1511,STREET,1017246
52504,CLOSED HAND STRIKE (PUNCH),281,RESIDENCE,1016754
52505,DOMESTIC INCIDENT - NOT PHYSICAL,281,POLICE FACILITY/VEH PARKING LOT,1016719
52506,DOMESTIC INCIDENT - NOT PHYSICAL,1233,RESIDENCE,1016491
52507,MISCELLANEOUS,153,STREET,1016588
52508,THREATS,278,,1017501
52509,MISCELLANEOUS,257,STREET,1018268
52510,IMPACT WEAPON - AUTHORIZED (BATON / ASP),73,STREET,1019169
52511,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,227,RESIDENCE PORCH/HALLWAY,1017341
52512,FIREARM USED AS AN IMPACT WEAPON,278,RESIDENCE,1017304
52513,PROPER CARE - INJURY / DEATH,1465,STREET,1016620
52514,NO INJURY,379,,1016644
52515,CLOSED HAND STRIKE (PUNCH),281,RESIDENCE,1016754
52516,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,310,RESIDENCE,1016832
52517,CIVIL SUITS - THIRD PARTY ,268,,1017964
52518,MISCELLANEOUS,540,SMALL RETAIL STORE,1017086
52519,FIREARM DISCHARGE WITH HITS - HANDGUN,1831,HIGHWAY/EXPRESSWAY,1018328
52520,EXCESSIVE FORCE / ON DUTY - NO INJURY,89,STREET,1019350
52521,EXCESSIVE FORCE / ON DUTY - INJURY,770,RESIDENCE,1019279
